2020-04-19 16:04:779 INFO  HomePage :61 - Displaying Register link : [[ChromeDriver: chrome on WINDOWS (88a4cd2d8ddce45f7b5e31dd1545a8f7)] -> link text: Register]
2020-04-19 16:04:637 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-19 16:04:173 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-19 16:04:932 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-19 16:04:535 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-19 16:04:63 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-19 16:04:95 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-19 16:04:30 INFO  HomePage :77 - Clicking on Register link : Proxy element for: DefaultElementLocator 'By.linkText: Register'
2020-04-19 16:04:113 INFO  RegisterPage :27 - Displaying Register Page Text : [[ChromeDriver: chrome on WINDOWS (a49235a79f583dee146a79824da38c1c)] -> xpath: //h2[@class='h2 jumbo-title']]
2020-04-19 16:04:146 INFO  RegisterPage :33 - Displaying Register Page Text : [[ChromeDriver: chrome on WINDOWS (a49235a79f583dee146a79824da38c1c)] -> xpath: //h2[@class='h2 jumbo-title']]
